회사명,회사정보,제목,링크,경력및고용형태,학력,마감일,직무분야,tech,location
(주)디어유,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Q3ZwdklhbHRZTTNrTHBqakk2cUxXdz09,[코스닥 상장사] 서버 개발 실장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49539690,10 ~ 15년 · 정규직,대학교(4년)↑,~01.06(월),"백엔드/서버개발, 웹개발, DBA, SE(시스템엔지니어), 검색엔진",218,101000
(주)디어유,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Q3ZwdklhbHRZTTNrTHBqakk2cUxXdz09,메세징 서비스 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49539682,3 ~ 7년 · 정규직,대학교(4년)↑,~01.06(월),"백엔드/서버개발, 웹개발, 프론트엔드, DBA, 인프라",218,101000
(주)앰진,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=LzAzNU1mSXJUVVp4cGcrNFBBRWRsQT09,(주)앰진 IT 백엔드 신입·경력 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49550037,신입 · 경력 · 정규직,대학교(4년)↑,내일마감,"데이터분석가, 백엔드/서버개발, 프론트엔드, 빅데이터, RDBMS",218,101000
,,Python 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49524352,1 ~ 6년 · 정규직,학력무관,~01.02(목),"백엔드/서버개발, 웹개발, 프론트엔드, DBA, 인프라",218,101000
(주)크리스천메이트,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=TXpaMlpFRkNjSFFvdnlZcnMwNng2Zz09,프론트엔드 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49523087,경력 3년↑ · 정규직,고졸↑,~01.02(목),"백엔드/서버개발, 프론트엔드, 반응형웹, API, Angular",218,101000
,,Python 개발자 채용 (4~8년차),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49524436,4 ~ 8년 · 정규직,학력무관,~01.02(목),"백엔드/서버개발, 웹개발, 프론트엔드, DBA, 인프라",218,101000
(주)코레이즈홀딩스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=a0cxU3l1Mm5CZ3owTnEvU1ovakNqQT09,[코레이즈]  Python (Flask) 웹 개발자 채용 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49537495,5 ~ 10년 · 정규직,학력무관,~01.04(토),"백엔드/서버개발, 웹개발, 프론트엔드, DBMS, Windows",218,101000
(주)코레이즈홀딩스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=a0cxU3l1Mm5CZ3owTnEvU1ovakNqQT09,[코레이즈]  Python (Flask) 웹 개발자 채용 (신입-보충역),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49537488,신입 · 경력 · 정규직 외,학력무관,~01.04(토),"백엔드/서버개발, 웹개발, 프론트엔드, DBMS, Windows",218,101000
(주)미디어윌네트웍스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=S0Njanp0MXNUNXd3ZUVjUkVNVy9udz09,[알바천국] AI서비스 백엔드 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49533554,3 ~ 10년 · 정규직,"대학(2,3년)↑",~12.26(목),"웹개발, 프론트엔드, .NET, ASP, ASP.NET",218,101000
(주)디어유,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Q3ZwdklhbHRZTTNrTHBqakk2cUxXdz09,Payment 개발 담당자(JAVA 기반),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49516280,3 ~ 7년 · 정규직,대학교(4년)↑,~01.01(수),"백엔드/서버개발, 웹개발, 프론트엔드, DBA, SE(시스템엔지니어)",218,101000
